User,Location,Tweeter,Mentions
EdnilsonStos,,"b'Oxe!!!\nTava sabendo no!\nNo contrariem o BOULOS Laranjal, postando a Tag #BoulosGenocida, tenham pena dele. https://t.co/thCqyq8Efv'",
Matheus63764714,,b'Laranjal Do Boulos \n\n#BoulosGenocida\n#BoulosNao\n#BoulosNunca\n#ManuElaNao https://t.co/ejNrrl9wdR',
Matheus63764714,,b'@LuizCamargoVlog  Laranjal \nBoulos Genocida\n#BoulosGenocida\n#boulosgenocida \n#BoulosNao\n#BoulosNunca https://t.co/GXXHZWYhuo',LuizCamargoVlog
Helena88892956,,"b'@carlosjhonesbat @UOLNoticias Prove!! So a palavra do Boulos,  no serve.\nPrefiro acreditar no laranjal do Boulos.'",carlosjhonesbat
MichaelPatriota,,"b'@PacoB0800 @marcobellojr @0800Fm @CPcast @memespalmeiras @sinistrodibres @nina_sep @JoaquinTeixeira @decioperinsep @MarcosGoleiro12 Esse lixo lambe  do boulos laranjal, no tem moral nenhuma pra falar do nosso dolo Marco!!!! Mais um parasita  na mdia podre!!! Masss, s digo um coisa, aceita que di menos, verme!!! '",PacoB0800
MariaAl97280143,,b'O cala atochada o Boulos laranjal nhonho e alguns togados e outros que pegaram COVID mostraram os seus exames? S pra saber! S vale para o PR @jairbolsonaro   isso mesmo? https://t.co/3gpZgZAYCR',jairbolsonaro
CesarAugusto_sp,,"b'@TVHDOzzy Boulos  igual a Erundina, Martaxa e Poste.\nO Boulos j comeou com o laranjal, spara confirmar ser igual a eles.\nE estes trs, no foram reeleitos, de to ruins que so.'",TVHDOzzy
UmLiberal1,,"b'@marceloflopes @SF_Moro Olha, o cara do comunismo por aqui, ja ta preparando o leno pra dia 29? Tu sabe que o Boulos Laranjal no vai ganhar n? Ah, e em 2022 prepara um outro leno, mas dessa vez  pra ver a Vitria do Moro, ta bom?'",marceloflopes
Matheus63764714,,b'So Paulo \nLaranjal Do Boulos\nNO\n\n#boulosgenocida\n\n#BoulosNao \n#BoulosNunca https://t.co/cBorpkUHsY',
Matheus63764714,,b'Laranjal Do Boulos\n#boulosgenocida\n#BoulosNao \n#BoulosNunca https://t.co/Iu6zpQ95Z4',
Matheus63764714,,b'Genocida\nLaranjal \n          Boulos Genocida \n#BoulosNao \n#BoulosGenocida\n#BoulosNunca\n#LaranjalDoBoulos https://t.co/VNYfnKr8TW',
rafaeldmatheus,,b'RT @teresinhalopes: No acredito em ti FUX! O @oswaldojor est preso!  jornalista investigativo e teve sua liberdade de expresso cassada!',teresinhalopes
JosCarl23223143,,b'RT @oswaldojor: Ontem Kleber Leite agigantou o jornalismo da Rede Brasil de Televiso mostrando com provas irrefutveis o Laranjal de Boulo',oswaldojor
MaraMor57456446,,b'RT @oswaldojor: Ontem Kleber Leite agigantou o jornalismo da Rede Brasil de Televiso mostrando com provas irrefutveis o Laranjal de Boulo',oswaldojor
Alessan63233707,,b'RT @oswaldojor: Ontem Kleber Leite agigantou o jornalismo da Rede Brasil de Televiso mostrando com provas irrefutveis o Laranjal de Boulo',oswaldojor
Matheus63764714,,"b'""Guilherme Boulos""\n Laranjal \n#BoulosNao \n#BoulosGenocida \n#BoulosNunca\n#LaranjalDoBoulos https://t.co/wA0ggfFWlg'",
JeSoaresJv,,b'@CarlosBolsonaro @gisapatriamada Ainda bem q o @psol50 tem um Laranjal e o Boulos vai poder usufruir de bastante Vitamina C.\nFicou bem nessa foto  https://t.co/fX57bX0syG',CarlosBolsonaro
RuiCarl66562254,,"b'@celsorussomanno Deveria ser indcios robustos sobre o ""Laranjal do Boulos"".\nMas deve ser uma pobre coitada de uma atendente exposta a uma situao constrangedora. \nOnde ela No criou; \nNo recebeu orientao; \nTo pouco  responsvel.\n\nLiteralmente a vitima Maior. https://t.co/r4Ro661amk'",celsorussomanno
rogarao_,,b'Boulos testa positivo para laranjal !!!! https://t.co/cboFrqG4wP',
joaoAl31,,b'@brunocovas @GuilhermeBoulos Laranjal do boulos!',brunocovas
joaoAl31,,b'Laranjal do boulos!',
heyandyy7,,b'Todos os eleitores do Boulos deveriam SE QUARENTENAR em solidariedade. No saiam de casa pra votar.\n\nMas acho que ele vai se recuperar bem no laranjal. Vitamina C  poderosa.\n\nFora Covid ! https://t.co/IaXbEqfkEK',
WilsonSilva38,,"b'@roxmo @Marcos_11_66 Guilherme Laranjal do Boulos testa POSITIVO para VIGARISTA, PICARETA, VAGABUNDO e Mentiroso.'",roxmo
JuracyOliveira8,,b'@Rconstantino Vamos resgatar o legado de Paulo Freire comeando com laranjal do BOULOS. https://t.co/QFt6vCJEIz',Rconstantino
ailtong67,,b'@GuilhermeBoulos E o laranjal do Boulos? J foi esclarecido?',GuilhermeBoulos
TerezaCris59,,b'RT @teresinhalopes: No acredito em ti FUX! O @oswaldojor est preso!  jornalista investigativo e teve sua liberdade de expresso cassada!',teresinhalopes
Luiz_A_C_Costa,,"b'@stu_felipe @LostEForgotten @PomboPolitico @JornalOGlobo MP no  juiz, se ele for condenado, que vai preso na mesma cela que o Laranjal do Boulos'",stu_felipe
superaguia2000,,b'RT @teresinhalopes: No acredito em ti FUX! O @oswaldojor est preso!  jornalista investigativo e teve sua liberdade de expresso cassada!',teresinhalopes
Matheus63764714,,b'@SummerNight53 @V4ldeirOficial @FabianaBPB @mcruz2000 @mfmbarr @MagnoLM2 @hcrpsgs @Heliomaia2 @MariaJo68265365 @FernandaAndrett @PatriGo76 @Bella__38 @Almir47903483 @AGNALDO06784128 @WEVERSONPQDT96 @bolsoapoio @cida_mas @DrReynaldo @DestrosEng @FusaroZila Laranjal \n                    Do\n                Boulos\n#BoulosNao \n#LaranjalDoBoulos \n#BoulosNunca https://t.co/wH6OHeCcja',SummerNight53
KlesiaPimentel,,b'@ArthurWeint Boulos fecal\nBoulos laranjal\nBoulos invasor sem igual \nBoulos comunista universal',ArthurWeint
LuciaRehder,,b'RT @teresinhalopes: No acredito em ti FUX! O @oswaldojor est preso!  jornalista investigativo e teve sua liberdade de expresso cassada!',teresinhalopes
teresinhalopes,,b'No acredito em ti FUX! O @oswaldojor est preso!  jornalista investigativo e teve sua liberdade de expresso cassada! Exps o laranjal do Boulos! https://t.co/hbgziqUP47',oswaldojor
DexteraDomini1,,b'@ironbonoro @LULAHONESTO38 @nagire_04 @Bozonazisincer0 @BReacionary @Marcio32098359 @mor_eo @OZONE42798933 @PPReacaFla2 @Carol_rozz @AcidoReturn @JooFranciscoP10 @Terras_Brasil @CONSERVACETICO @registeago @A_Bem_d_Verdade @carlagcc1967 @EllenR_Pfeffer @elisa_kathia @curimim @EduardoPB2020_ @Michell37819657 @CRISF38 @MarcusVcomenta @25graciella @Zepykenu @jannafabrini @LulaNaziSimZero @lukar_lima @RenataMotta2210 @JooCesarMatos1 @bonorominion @dossieantifa @veiamagalhaess @JussaraCarneiro @Pitanga91557761 @PeaceLoveButte1 @JourneyToJusti1 @EduardoSEP_1914 @Thanato80012698 @TulioRicard @DuddaSalvador2 @agda_campanha @dgomes_br @PPReacaReborn @coxinhabrasil79 @Terminatorgod38 @Cris62070270 @heraldo10743939 Laranja tb\nVou o laranjal do boulos?',ironbonoro
aleextavaress,,"b'@brunbazzo @allanldsantos Mas temos as denuncias Marcius Melhem, o laranjal do Boulos alguma notinha de sobrevivncia? \nEnto @brunbazzo corremos atrs disso do criminoso, ento cabe a voc, correr atrs do que essa mulher fez! \nVcs gosta de um sistema autoritrio comunga n? Mas curte um bom capitalismo.'",brunbazzo
Victorkazoo,,"b'@PSDBoficial Boulos lembra bolos. Bolos lembra bolos de laranja, bolo de laranja lembra laranjal, laranjal lembra LARANJAL DO BOULOS!'",PSDBoficial
GrippLuzia,,b'@lolaescreva E o laranjal do Boulos no vai ser investigado e divulgado?',lolaescreva
minceauras,,"b'@Luiz_A_C_Costa No existe laranjal do Boulos, s na sua cabea.'",Luiz_A_C_Costa
another_brick_7,,"b""@aguedescartoon Interessante que agora no se fala mais no tal 'laranjal do Boulos'.... sintomtico""",aguedescartoon
Nissylopes,,"b'@GuilhermeBoulos E o teu laranjal, Boulos? Kkk'",GuilhermeBoulos
PertileAntonin1,,b'@AraciPatriota @AngelaMGonalve1 Esse @Boulos alm de Invasor    dono de um LARANJAL IMENSO.',AraciPatriota
MatheusSouzaFi,,b'@Luiz_A_C_Costa @JornalOGlobo O Laranjal j foi provado como uma mentira criada para prejudicar o Boulos.',Luiz_A_C_Costa
