Id,Label,timeset,indegree,outdegree,degree,weighted indegree,weighted outdegree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,componentnumber,strongcompnum,clustering,eigencentrality,pageranks
flaviocampos2,flaviocampos2,,0,1,1,0,1,1,2,0.666667,0.75,0,0,0,2,0,0,0.00009
colunapatriota,colunapatriota,,192,1,193,195,1,196,1,1,1,191.5,0,0,1,0,0.051893,0.009948
OsmarAquinoOb,OsmarAquinoOb,,0,1,1,0,1,1,2,0.666667,0.75,0,0,0,3,0,0,0.00009
JoaoScheibel,JoaoScheibel,,0,2,2,0,2,2,2,0.75,0.833333,0,0,0,5,0,0,0.00009
RosaMar94595475,RosaMar94595475,,0,1,1,0,1,1,2,0.666667,0.75,0,0,0,6,0,0,0.00009
DoRonivon,DoRonivon,,0,2,2,0,2,2,2,0.75,0.833333,0,0,0,7,0,0,0.00009
iandersonmaia,iandersonmaia,,0,3,3,0,4,4,2,0.8,0.875,0,0,0,9,0,0,0.00009
LuizFedrigo1,LuizFedrigo1,,0,1,1,0,1,1,2,0.666667,0.75,0,0,0,10,0,0,0.00009
gustavo_machuca,gustavo_machuca,,0,1,1,0,1,1,2,0.666667,0.75,0,0,0,11,0,0,0.00009
Samuel_J_Silva,Samuel_J_Silva,,0,1,1,0,1,1,1,1,1,0,1,0,13,0,0,0.00009
thomasqrz,thomasqrz,,157,0,157,163,0,163,0,0,0,0,1,0,12,0,0.042433,0.008883
DoriEdsonDaSil1,DoriEdsonDaSil1,,0,2,2,0,3,3,2,0.75,0.833333,0,46,0,14,0,0,0.00009
americacapitao7,americacapitao7,,0,4,4,0,4,4,2,0.833333,0.9,0,0,0,17,0,0,0.00009
f76e476a28bd476,f76e476a28bd476,,0,1,1,0,1,1,2,0.666667,0.75,0,0,0,18,0,0,0.00009
rgodoyjr,rgodoyjr,,0,3,3,0,3,3,2,0.8,0.875,0,0,0,19,0,0,0.00009
Bezerrapqd1,Bezerrapqd1,,0,3,3,0,3,3,2,0.8,0.875,0,0,0,20,0,0,0.00009
EdileusaMoreir4,EdileusaMoreir4,,0,1,1,0,1,1,2,0.666667,0.75,0,0,0,21,0,0,0.00009
gusto_mor,gusto_mor,,0,4,4,0,4,4,2,0.833333,0.9,0,0,0,23,0,0,0.00009
SalvajoliCassi1,SalvajoliCassi1,,0,1,1,0,1,1,2,0.666667,0.75,0,0,0,24,0,0,0.00009
CxReajalute,CxReajalute,,0,2,2,0,2,2,2,0.75,0.833333,0,0,0,25,0,0,0.00009
SergioBhMg1,SergioBhMg1,,0,1,1,0,1,1,2,0.666667,0.75,0,0,0,26,0,0,0.00009
Gismga,Gismga,,0,1,1,0,2,2,2,0.666667,0.75,0,0,0,27,0,0,0.00009
giovanifreitas1,giovanifreitas1,,0,1,1,0,1,1,2,0.666667,0.75,0,0,0,28,0,0,0.00009
mc_carneiro,mc_carneiro,,0,1,1,0,1,1,2,0.666667,0.75,0,0,0,29,0,0,0.00009
marcelovelacb,marcelovelacb,,0,1,1,0,1,1,2,0.666667,0.75,0,0,0,30,0,0,0.00009
caromedy,caromedy,,0,2,2,0,2,2,2,0.75,0.833333,0,0,0,31,0,0,0.00009
sil_dleite,sil_dleite,,0,2,2,0,2,2,2,0.666667,0.75,0,102,0,34,0,0,0.00009
Solrac57921930,Solrac57921930,,0,1,1,0,1,1,2,0.666667,0.75,0,0,0,35,0,0,0.00009
RodrigoMarchi17,RodrigoMarchi17,,0,2,2,0,3,3,2,0.75,0.833333,0,46,0,36,0,0,0.00009
